token_ID,token,chunk_id,chunk_type,prev_chunk_id,chunk_rel_pos,label
3,balancer_0xAEfE39a928122343Fdcd490BC1EA819A915f6794,1,1,-1,100.0,Normal rug
4,blueprint_0x8D6CeBD76f18E1558D4DB88138e2DeFB3909fAD6,1,1,-1,100.0,Normal rug
7,curve_0x352A4B34B8e9f43B869F6F80728978CCcDCED406,1,1,-1,100.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,1,-1,-1,5.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,2,-1,1,10.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,3,-1,2,15.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,4,-1,3,20.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,5,-1,4,25.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,6,-1,5,30.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,7,-1,6,35.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,8,-1,7,40.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,9,-1,8,45.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,10,-1,9,50.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,11,-1,10,55.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,12,-1,11,60.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,13,-1,12,65.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,14,-1,13,70.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,15,-1,14,75.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,16,-1,15,80.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,17,-1,16,85.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,18,-1,17,90.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,19,-1,18,95.0,Normal rug
11,dodo_0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,20,1,19,100.0,Normal rug
12,dodo_0xc7bb03ddD9311fc0338bE013E7B523254092Fda9,1,1,-1,100.0,Normal rug
23,shibaswap_0x17c50D62E6E8D20d2DC18e9AD79c43263D0720d9,1,1,-1,100.0,Normal rug
24,sushiswap_0x9f671e369Ce010A9e4Cb0A53ba575Ff0a7cD6320,1,1,-1,100.0,Normal rug
26,sushiswap_0xD4419C2d3DAA986Dc30444Fa333a846be44Fd1eb,1,-1,-1,20.0,Normal rug
26,sushiswap_0xD4419C2d3DAA986Dc30444Fa333a846be44Fd1eb,2,-1,1,40.0,Normal rug
26,sushiswap_0xD4419C2d3DAA986Dc30444Fa333a846be44Fd1eb,3,-1,2,60.0,Normal rug
26,sushiswap_0xD4419C2d3DAA986Dc30444Fa333a846be44Fd1eb,4,-1,3,80.0,Normal rug
26,sushiswap_0xD4419C2d3DAA986Dc30444Fa333a846be44Fd1eb,5,1,4,100.0,Normal rug
37,uniswap-fork-446_0xF3c3745894d979F8F85761bd060520BDdbc464e9,1,1,-1,100.0,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,1,-1,-1,12.5,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,2,-1,1,25.0,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,3,-1,2,37.5,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,4,-1,3,50.0,Normal rug
